ip_address,email_address,EVENT_TIMESTAMP,EVENT_LABEL
124.199.26.246,fake_valdezstephen@example.com,2019-07-16 06:36:00,legit
105.141.20.185,fake_markwilliams@example.org,2019-07-16 06:45:00,legit
105.141.20.185,fake_velasquezjonathan@example.com,2019-07-16 06:47:00,legit
87.199.12.89,fake_richardsmith@example.net,2019-07-16 06:59:00,legit
31.175.34.58,fake_nolandenise@example.net,2019-07-16 07:07:00,legit
223.40.67.12,fake_jonathananderson@example.net,2019-07-16 07:12:00,legit
108.51.232.130,fake_jimmy37@example.com,2019-07-16 07:41:00,legit
69.130.242.115,fake_swong@example.com,2019-07-16 08:59:00,legit
69.156.222.50,fake_michael14@example.com,2019-07-16 09:22:00,legit
102.93.194.17,fake_claire51@example.org,2019-07-16 09:23:00,legit
196.40.141.13,fake_piercemichael@example.net,2019-07-16 10:13:00,legit
95.44.19.192,fake_kwang@example.net,2019-07-16 10:32:00,legit
145.31.29.230,fake_kathleen31@example.net,2019-07-16 12:25:00,legit
217.241.229.41,fake_nolandenise@example.net,2019-07-16 13:10:00,legit
53.242.19.37,fake_allisonstanley@example.net,2019-07-16 13:26:00,legit
61.98.151.37,fake_pbell@example.net,2019-07-16 14:07:00,legit
6.7.235.155,fake_kbrown@example.net,2019-07-16 14:52:00,legit
102.235.138.35,fake_jhicks@example.com,2019-07-16 16:16:00,legit
121.110.225.61,fake_qlewis@example.org,2019-07-16 16:21:00,legit
49.61.14.212,fake_fryjason@example.net,2019-07-16 16:32:00,legit
118.241.107.13,fake_peter81@example.org,2019-07-16 17:05:00,legit
48.131.239.128,fake_gsmith@example.net,2019-07-16 17:53:00,legit
3.86.113.1,fake_ijohnson@example.net,2019-07-16 17:56:00,legit
131.155.202.56,fake_williamscasey@example.com,2019-07-16 18:03:00,legit
1.39.99.125,fake_francisco04@example.net,2019-07-16 18:16:00,legit
157.97.223.250,fake_nicolemeyer@example.net,2019-07-16 18:19:00,legit
184.138.87.101,fake_richardsmith@example.net,2019-07-16 19:28:00,legit
115.108.150.61,fake_dorothychavez@example.net,2019-07-16 19:36:00,legit
87.2.135.136,fake_pruittkyle@example.org,2019-07-16 20:11:00,legit
75.11.25.1,fake_xcoleman@example.net,2019-07-16 20:16:00,legit
167.107.120.76,fake_tracyvalenzuela@example.org,2019-07-16 22:41:00,legit
63.50.236.31,fake_angelashaw@example.org,2019-07-16 22:57:00,legit
97.124.221.77,fake_markwilliams@example.org,2019-07-16 23:35:00,legit
3.159.187.200,fake_moorechristopher@example.org,2019-07-16 23:39:00,legit
74.61.22.155,fake_gardnerjoseph@example.org,2019-07-16 23:44:00,legit
1.39.99.125,fake_sabrina55@example.org,2019-07-16 23:58:00,legit
194.89.142.14,fake_nkaufman@example.net,2019-07-17 00:10:00,legit
51.1.184.48,fake_franklinchristopher@example.org,2019-07-17 00:26:00,legit
29.94.204.130,fake_jonathananderson@example.net,2019-07-17 00:59:00,legit
163.34.126.75,fake_marco35@example.net,2019-07-17 02:56:00,legit
169.113.77.226,fake_moorechristopher@example.org,2019-07-17 02:57:00,legit
80.144.39.167,fake_john94@example.net,2019-07-17 02:58:00,legit
180.160.161.186,fake_jennifer74@example.com,2019-07-17 04:05:00,legit
195.229.117.236,fake_hayesdavid@example.org,2019-07-17 04:49:00,legit
136.85.33.64,fake_rsaunders@example.com,2019-07-17 05:45:00,legit
87.2.135.136,fake_lisataylor@example.net,2019-07-17 06:11:00,legit
191.246.116.203,fake_butlersheri@example.net,2019-07-17 06:38:00,legit
181.136.217.19,fake_julia74@example.com,2019-07-17 06:52:00,fraud
115.73.92.47,fake_dsutton@example.net,2019-07-17 08:09:00,legit
153.105.233.86,fake_valdezstephen@example.com,2019-07-17 08:36:00,legit
118.78.249.35,fake_laurenfarmer@example.net,2019-07-17 08:55:00,legit
81.62.114.93,fake_elizabethyoung@example.com,2019-07-17 09:04:00,legit
134.112.23.2,fake_allenthomas@example.com,2019-07-17 10:04:00,legit
76.191.255.240,fake_dominguezcorey@example.com,2019-07-17 12:43:00,legit
184.138.87.101,fake_ttaylor@example.com,2019-07-17 12:45:00,legit
45.109.194.210,fake_jbaker@example.com,2019-07-17 13:58:00,legit
52.141.175.135,fake_mcmahonryan@example.org,2019-07-17 14:53:00,legit
61.117.191.38,fake_kathleen91@example.net,2019-07-17 16:57:00,legit
70.137.189.151,fake_julia74@example.com,2019-07-17 17:28:00,fraud
174.55.153.17,fake_madisonshaffer@example.com,2019-07-17 17:44:00,legit
209.175.21.29,fake_fergusonsharon@example.org,2019-07-17 17:47:00,legit
215.236.243.90,fake_pwalker@example.com,2019-07-17 20:27:00,legit
1.67.216.105,fake_brentdoyle@example.org,2019-07-17 20:46:00,legit
37.236.210.209,fake_xschneider@example.net,2019-07-17 21:27:00,legit
80.92.181.255,fake_robinsoncarol@example.net,2019-07-17 21:43:00,legit
203.60.218.122,fake_susan27@example.org,2019-07-17 21:49:00,legit
148.34.164.9,fake_valerieburch@example.com,2019-07-17 22:16:00,legit
91.25.144.227,fake_ruth73@example.org,2019-07-17 22:36:00,legit
82.181.146.171,fake_joseharris@example.net,2019-07-17 22:55:00,legit
87.2.135.136,fake_charles78@example.net,2019-07-17 23:31:00,legit
10.186.165.241,fake_matthewbrock@example.org,2019-07-17 23:34:00,legit
147.162.167.3,fake_staceywilson@example.net,2019-07-17 23:48:00,legit
159.184.27.227,fake_jodihuff@example.org,2019-07-17 23:53:00,fraud
103.136.150.71,fake_karenbernard@example.net,2019-07-18 00:05:00,fraud
65.82.55.101,fake_greenmelanie@example.com,2019-07-18 00:24:00,legit
173.211.208.88,fake_jenniferwhite@example.com,2019-07-18 01:30:00,legit
201.31.89.29,fake_tclark@example.net,2019-07-18 02:05:00,legit
109.158.122.73,fake_timothy43@example.org,2019-07-18 02:25:00,legit
197.190.74.175,fake_cindy08@example.net,2019-07-18 02:57:00,legit
145.137.242.144,fake_charlesdunn@example.com,2019-07-18 03:14:00,legit
33.21.37.25,fake_xmccoy@example.org,2019-07-18 04:04:00,legit
7.200.59.86,fake_bryan26@example.org,2019-07-18 04:31:00,legit
122.148.2.92,fake_kwalsh@example.com,2019-07-18 04:31:00,fraud
209.75.47.8,fake_richardkennedy@example.net,2019-07-18 05:01:00,legit
37.236.210.209,fake_xschneider@example.net,2019-07-18 05:21:00,legit
175.178.117.112,fake_hoffmantina@example.com,2019-07-18 05:39:00,fraud
39.70.184.8,fake_mistynolan@example.net,2019-07-18 05:55:00,legit
209.225.244.95,fake_claire35@example.org,2019-07-18 06:17:00,legit
109.158.122.73,fake_williamsalejandro@example.com,2019-07-18 06:29:00,legit
222.130.170.141,fake_vholt@example.org,2019-07-18 08:17:00,legit
157.97.223.250,fake_nathan47@example.org,2019-07-18 08:20:00,legit
48.131.239.128,fake_ksoto@example.net,2019-07-18 08:39:00,legit
212.78.231.255,fake_angelaskinner@example.net,2019-07-18 09:26:00,legit
78.179.153.42,fake_uking@example.com,2019-07-18 10:20:00,legit
95.121.107.66,fake_iwade@example.org,2019-07-18 10:41:00,legit
102.153.235.233,fake_robinsoncarol@example.net,2019-07-18 10:43:00,legit
33.224.61.140,fake_campbellbrandy@example.net,2019-07-18 11:04:00,legit
19.133.125.11,fake_marc04@example.net,2019-07-18 11:20:00,legit
91.25.144.227,fake_dmyers@example.net,2019-07-18 11:51:00,legit
156.51.82.211,fake_nguyenmelvin@example.net,2019-07-18 12:00:00,legit
112.227.15.200,fake_zrogers@example.net,2019-07-18 12:13:00,legit
39.70.184.8,fake_diazjennifer@example.net,2019-07-18 12:25:00,legit
193.81.43.132,fake_qclayton@example.org,2019-07-18 12:39:00,legit
35.242.184.165,fake_ramosjeffery@example.net,2019-07-18 12:51:00,legit
140.129.63.168,fake_benjamincarroll@example.com,2019-07-18 12:59:00,legit
71.214.34.68,fake_dtaylor@example.net,2019-07-18 13:26:00,fraud
35.13.58.190,fake_timothyanderson@example.org,2019-07-18 13:44:00,legit
162.29.105.37,fake_zachary85@example.com,2019-07-18 15:15:00,legit
5.11.55.72,fake_tphillips@example.com,2019-07-18 15:37:00,legit
164.125.5.103,fake_bartontheresa@example.com,2019-07-18 15:52:00,legit
74.133.15.41,fake_thomasjacob@example.com,2019-07-18 16:01:00,legit
60.195.6.214,fake_xhunter@example.com,2019-07-18 16:51:00,legit
58.49.45.45,fake_ksoto@example.net,2019-07-18 17:28:00,fraud
35.135.21.137,fake_bradfordtheresa@example.com,2019-07-18 17:36:00,legit
30.252.183.216,fake_armstrongstephanie@example.org,2019-07-18 18:13:00,legit
209.225.244.95,fake_ttaylor@example.com,2019-07-18 18:22:00,legit
198.223.24.11,fake_jenniferroberts@example.net,2019-07-18 18:59:00,legit
118.59.100.28,fake_wallerbobby@example.com,2019-07-18 19:23:00,legit
222.249.79.238,fake_lisaross@example.com,2019-07-18 20:03:00,fraud
124.199.26.246,fake_barbaragibbs@example.net,2019-07-18 20:29:00,legit
54.180.154.224,fake_ygill@example.net,2019-07-18 20:30:00,legit
57.26.154.62,fake_mccallpaul@example.com,2019-07-18 21:14:00,legit
186.229.87.146,fake_michaelberg@example.net,2019-07-18 22:00:00,legit
177.57.235.97,fake_mackenziejones@example.net,2019-07-18 22:15:00,fraud
131.61.26.162,fake_gnichols@example.com,2019-07-18 22:22:00,legit
13.201.40.178,fake_ericakennedy@example.org,2019-07-18 22:29:00,legit
131.50.199.206,fake_ariana39@example.com,2019-07-18 22:55:00,legit
88.178.193.207,fake_david54@example.org,2019-07-18 23:02:00,legit
197.141.70.106,fake_alexaalvarado@example.com,2019-07-18 23:15:00,legit
138.156.38.109,fake_swilliamson@example.org,2019-07-18 23:48:00,legit
3.86.113.1,fake_elizabethyoung@example.com,2019-07-19 01:10:00,legit
208.202.59.231,fake_ttaylor@example.com,2019-07-19 01:21:00,fraud
29.197.60.201,fake_jesseshields@example.com,2019-07-19 02:02:00,legit
151.199.47.81,fake_tammy53@example.org,2019-07-19 02:29:00,legit
10.18.37.35,fake_edward66@example.net,2019-07-19 02:59:00,legit
146.124.21.18,fake_billy22@example.com,2019-07-19 03:58:00,legit
75.192.81.133,fake_ofoster@example.com,2019-07-19 05:10:00,legit
74.133.12.92,fake_uthomas@example.net,2019-07-19 05:25:00,legit
172.223.225.65,fake_moradavid@example.com,2019-07-19 07:52:00,legit
87.2.135.136,fake_jhicks@example.com,2019-07-19 08:51:00,legit
87.199.12.89,fake_mgarcia@example.net,2019-07-19 09:05:00,legit
106.83.150.164,fake_cwright@example.net,2019-07-19 09:25:00,legit
10.186.165.241,fake_april06@example.org,2019-07-19 09:32:00,legit
14.152.164.126,fake_caleb89@example.net,2019-07-19 09:39:00,legit
94.84.253.142,fake_mcmahonryan@example.org,2019-07-19 09:40:00,legit
133.105.23.168,fake_terrimiddleton@example.org,2019-07-19 09:58:00,legit
206.209.130.169,fake_jeffrey09@example.org,2019-07-19 10:20:00,legit
172.223.225.65,fake_davismiguel@example.com,2019-07-19 10:50:00,legit
155.134.151.238,fake_angela38@example.com,2019-07-19 11:35:00,legit
97.51.87.123,fake_rpitts@example.net,2019-07-19 12:05:00,legit
14.215.192.162,fake_pruittkyle@example.org,2019-07-19 12:10:00,legit
69.130.242.115,fake_jared06@example.com,2019-07-19 12:30:00,legit
20.202.25.188,fake_megandavis@example.com,2019-07-19 13:00:00,legit
164.170.71.10,fake_erosales@example.com,2019-07-19 13:43:00,legit
10.142.133.244,fake_ttaylor@example.com,2019-07-19 14:04:00,legit
203.60.218.122,fake_ijohnson@example.net,2019-07-19 14:24:00,legit
213.67.153.10,fake_kmiller@example.net,2019-07-19 14:37:00,legit
149.176.209.255,fake_agomez@example.com,2019-07-19 15:07:00,fraud
187.163.94.92,fake_cookekayla@example.org,2019-07-19 15:12:00,legit
108.51.232.130,fake_holly15@example.org,2019-07-19 16:10:00,legit
63.55.204.228,fake_thompsonbryce@example.com,2019-07-19 16:46:00,legit
57.255.157.205,fake_moorechristopher@example.org,2019-07-19 17:10:00,legit
74.115.118.43,fake_diane13@example.org,2019-07-19 17:22:00,legit
167.6.100.21,fake_evan89@example.org,2019-07-19 17:23:00,legit
59.140.191.21,fake_rjackson@example.org,2019-07-19 17:45:00,legit
137.185.234.126,fake_timothy43@example.org,2019-07-19 18:01:00,legit
207.121.144.59,fake_fgonzalez@example.org,2019-07-19 18:09:00,legit
215.203.42.211,fake_justingarcia@example.org,2019-07-19 18:15:00,legit
158.142.101.90,fake_dwilliams@example.org,2019-07-19 18:30:00,legit
79.247.41.121,fake_jmoore@example.com,2019-07-19 19:02:00,legit
197.190.74.175,fake_uanderson@example.org,2019-07-19 19:13:00,legit
33.224.61.140,fake_alfredharrison@example.org,2019-07-19 19:21:00,legit
153.105.233.86,fake_billy22@example.com,2019-07-19 19:33:00,legit
65.246.20.5,fake_christy32@example.net,2019-07-19 20:49:00,legit
51.40.94.236,fake_rushjonathan@example.net,2019-07-19 21:25:00,legit
207.121.144.59,fake_joy90@example.com,2019-07-19 21:25:00,legit
164.94.118.220,fake_shawnwillis@example.com,2019-07-19 21:34:00,legit
45.109.194.210,fake_susan27@example.org,2019-07-19 21:57:00,legit
92.104.86.237,fake_iaustin@example.org,2019-07-19 22:00:00,legit
77.117.108.27,fake_francismiller@example.com,2019-07-19 22:03:00,legit
118.241.107.13,fake_ebowen@example.com,2019-07-19 22:16:00,legit
93.19.51.9,fake_smithclayton@example.com,2019-07-19 22:30:00,legit
30.218.190.192,fake_james78@example.com,2019-07-19 23:43:00,legit
184.208.86.48,fake_davisanthony@example.org,2019-07-19 23:52:00,legit
128.9.100.94,fake_cynthia45@example.org,2019-07-20 00:10:00,legit
12.252.206.222,fake_michael48@example.com,2019-07-20 01:13:00,legit
1.39.99.125,fake_johnsonvicki@example.com,2019-07-20 01:22:00,legit
161.25.96.133,fake_johnsonthomas@example.net,2019-07-20 02:43:00,legit
29.94.204.130,fake_evan89@example.org,2019-07-20 03:03:00,legit
66.212.184.142,fake_angelaskinner@example.net,2019-07-20 03:05:00,legit
88.252.187.240,fake_amylopez@example.com,2019-07-20 04:34:00,legit
164.64.205.27,fake_pbell@example.net,2019-07-20 05:08:00,legit
83.191.7.5,fake_batesmark@example.com,2019-07-20 05:56:00,legit
216.71.121.134,fake_clineamanda@example.net,2019-07-20 06:36:00,legit
214.0.167.165,fake_sergio63@example.com,2019-07-20 06:49:00,legit
46.41.252.160,fake_pruittkyle@example.org,2019-07-20 07:12:00,legit
11.43.98.246,fake_lynn08@example.net,2019-07-20 07:24:00,legit
221.88.17.160,fake_peckanthony@example.net,2019-07-20 08:00:00,legit
61.117.191.38,fake_jessehowe@example.com,2019-07-20 08:22:00,legit
158.142.101.90,fake_fowlerjames@example.com,2019-07-20 08:23:00,legit
131.155.202.56,fake_kendrasingleton@example.net,2019-07-20 08:50:00,legit
80.92.181.255,fake_kendrasingleton@example.net,2019-07-20 09:13:00,legit
1.39.99.125,fake_martinezdana@example.com,2019-07-20 09:18:00,legit
32.161.168.14,fake_mcbridemark@example.com,2019-07-20 10:04:00,legit
63.50.236.31,fake_nicholasgregory@example.org,2019-07-20 10:54:00,legit
21.251.127.82,fake_jamie41@example.com,2019-07-20 11:41:00,legit
27.42.250.130,fake_holtjackie@example.com,2019-07-20 11:57:00,legit
21.251.127.82,fake_christophersummers@example.org,2019-07-20 11:57:00,legit
10.142.133.244,fake_xmccoy@example.org,2019-07-20 11:59:00,legit
29.197.60.201,fake_jack28@example.net,2019-07-20 12:17:00,legit
109.154.184.201,fake_jcole@example.org,2019-07-20 13:10:00,legit
150.161.143.180,fake_david41@example.org,2019-07-20 13:15:00,legit
83.177.133.184,fake_tylerelizabeth@example.com,2019-07-20 13:20:00,legit
45.78.62.38,fake_acameron@example.com,2019-07-20 13:20:00,legit
29.47.188.243,fake_irobbins@example.net,2019-07-20 13:33:00,legit
5.11.55.72,fake_crawfordkimberly@example.net,2019-07-20 13:39:00,legit
21.229.203.85,fake_simpsonsuzanne@example.com,2019-07-20 13:46:00,fraud
212.78.231.255,fake_susan14@example.net,2019-07-20 14:49:00,legit
219.160.149.126,fake_carladickerson@example.org,2019-07-20 15:11:00,legit
20.76.140.150,fake_allen26@example.org,2019-07-20 15:34:00,legit
172.223.225.65,fake_madisonshaffer@example.com,2019-07-20 16:48:00,legit
81.232.57.231,fake_juanwilson@example.org,2019-07-20 17:22:00,legit
221.88.17.160,fake_robinsoncarol@example.net,2019-07-20 17:59:00,legit
